A_RSSI1 = [-43, -44, -41, -40, -41, -42, -40, -44, -45, -40, -42, -45, -43, -44, -41]
A_RSSI2 = [-79, -80, -75, -78, -77, -81, -76, -75, -79, -80, -76, -77, -78, -81, -75]
A_RSSI3 = [-76, -72, -73, -74, -70, -72, -75, -74, -73, -76, -71, -75, -70, -71, -72]

B_RSSI1 = [-54, -51, -53, -50, -52, -55, -50, -51, -54, -52, -53, -49, -52, -49, -55]
B_RSSI2 = [-67, -66, -70, -69, -63, -68, -66, -65, -69, -63, -67, -68, -64, -70, -65]
B_RSSI3 = [-66, -69, -65, -64, -68, -70, -64, -67, -70, -71, -68, -71, -67, -69, -65]

C_RSSI1 = [-70, -65, -66, -64, -69, -67, -63, -69, -70, -64, -63, -67, -65, -68, -68]
C_RSSI2 = [-52, -56, -54, -55, -51, -56, -53, -50, -52, -55, -54, -51, -53, -56, -50]
C_RSSI3 = [-68, -64, -66, -70, -71, -65, -69, -67, -64, -70, -66, -71, -65, -68, -69]

D_RSSI1 = [-79, -81, -77, -78, -80, -77, -81, -79, -80, -78, -77, -81, -78, -80, -79]
D_RSSI2 = [-46, -45, -42, -41, -44, -43, -41, -45, -46, -42, -43, -44, -45, -40, -44]
D_RSSI3 = [-70, -71, -71, -73, -70, -74, -72, -71, -73, -70, -74, -70, -73, -74, -72]

E_RSSI1 = [-54, -57, -53, -58, -54, -55, -56, -57, -52, -53, -56, -52, -55, -58, -53]
E_RSSI2 = [-79, -76, -78, -80, -77, -81, -79, -77, -80, -78, -76, -81, -79, -77, -80]
E_RSSI3 = [-61, -62, -64, -63, -65, -61, -65, -63, -62, -66, -60, -61, -64, -66, -64]

F_RSSI1 = [-61, -66, -65, -61, -63, -66, -62, -65, -64, -63, -66, -62, -61, -64, -66]
F_RSSI2 = [-63, -64, -62, -61, -65, -60, -63, -65, -64, -61, -66, -63, -62, -65, -66]
F_RSSI3 = [-57, -55, -54, -55, -54, -50, -56, -54, -56, -55, -57, -54, -56, -55, -57]

G_RSSI1 = [-78, -75, -77, -73, -71, -70, -75, -76, -79, -73, -78, -77, -74, -79, -76]
G_RSSI2 = [-48, -49, -50, -49, -50, -51, -47, -51, -48, -50, -51, -47, -49, -48, -51]
G_RSSI3 = [-53, -56, -57, -56, -54, -58, -55, -53, -54, -55, -58, -57, -52, -53, -54]

H_RSSI1 = [-86, -88, -85, -89, -84, -86, -89, -84, -87, -90, -85, -87, -88, -84, -86]
H_RSSI2 = [-30, -31, -33, -32, -34, -36, -30, -33, -34, -29, -33, -34, -32, -30, -31]
H_RSSI3 = [-57, -58, -60, -55, -58, -55, -59, -61, -56, -60, -57, -61, -56, -59, -60]

I_RSSI1 = [-69, -72, -70, -68, -75, -76, -74, -76, -75, -73, -71, -77, -73, -67, -68]
I_RSSI2 = [-78, -80, -76, -79, -73, -77, -80, -76, -79, -77, -76, -80, -78, -77, -79]
I_RSSI3 = [-48, -49, -47, -50, -48, -51, -50, -49, -47, -51, -48, -50, -49, -51, -47]

J_RSSI1 = [-75, -77, -72, -73, -71, -72, -75, -73, -74, -71, -74, -76, -75, -76, -77]
J_RSSI2 = [-67, -64, -70, -69, -66, -63, -69, -65, -68, -62, -67, -66, -64, -63, -70]
J_RSSI3 = [-45, -43, -46, -40, -42, -47, -44, -41, -39, -43, -41, -45, -46, -40, -42]

K_RSSI1 = [-85, -86, -81, -82, -83, -85, -81, -83, -86, -82, -85, -84, -84, -82, -83]
K_RSSI2 = [-50, -46, -47, -49, -48, -47, -46, -50, -51, -50, -49, -51, -48, -47, -49]
K_RSSI3 = [-43, -41, -44, -39, -42, -38, -40, -42, -44, -40, -39, -47, -43, -41, -43]

L_RSSI1 = [-92, -88, -91, -93, -90, -93, -89, -94, -90, -89, -91, -88, -94, -92, -92]
L_RSSI2 = [-31, -32, -29, -30, -34, -31, -33, -32, -30, -29, -34, -33, -31, -30, -32]
L_RSSI3 = [-51, -50, -54, -51, -53, -54, -52, -51, -53, -52, -50, -54, -53, -52, -51]

M_RSSI1 = [-81, -79, -80, -76, -78, -81, -77, -76, -82, -78, -77, -82, -79, -81, -80]
M_RSSI2 = [-78, -76, -81, -76, -80, -81, -77, -78, -80, -77, -79, -77, -79, -79, -80]
M_RSSI3 = [-45, -40, -42, -41, -44, -41, -43, -45, -44, -43, -40, -41, -45, -42, -44]

N_RSSI1 = [-83, -84, -85, -83, -81, -82, -82, -86, -82, -81, -84, -86, -85, -86, -83]
N_RSSI2 = [-68, -64, -66, -67, -69, -67, -64, -68, -63, -69, -66, -63, -69, -65, -65]
N_RSSI3 = [-27, -24, -23, -25, -26, -27, -28, -24, -26, -25, -28, -23, -27, -24, -26]

O_RSSI1 = [-92, -88, -93, -89, -94, -91, -92, -90, -93, -89, -88, -91, -94, -90, -92]
O_RSSI2 = [-52, -54, -52, -54, -51, -54, -51, -54, -53, -53, -52, -54, -53, -53, -51]
O_RSSI3 = [-24, -23, -25, -27, -26, -28, -24, -25, -23, -27, -26, -28, -24, -25, -23]

P_RSSI1 = [-100, -98, -97, -99, -101, -97, -99, -98, -97, -96, -101, -99, -96, -100, -100]
P_RSSI2 = [-49, -47, -50, -50, -47, -46, -49, -51, -48, -46, -50, -51, -48, -49, -47]
P_RSSI3 = [-40, -41, -45, -44, -41, -45, -43, -44, -40, -42, -45, -42, -40, -43, -41]
